Altium Designer Pick and Place Locations
D:\Projects\Lab equipment\current test\HARD_V00\Project Outputs for CT\Pick Place for CT_V01.txt

========================================================================================================================
File Design Information:

Date:       05.12.18
Time:       17:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment      Layer    Footprint                     Center-X(mm) Center-Y(mm) Rotation Description             Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
C23        22u          TopLayer CAPC3216X14N                  6.7000       36.9000      180      ""                      6.7000    36.9000   8.1000    36.9000   
C22        22u          TopLayer CAPC3216X14N                  6.7000       39.1000      180      ""                      6.7000    39.1000   8.1000    39.1000   
C21        22u          TopLayer CAPC3216X14N                  6.7000       41.2000      180      ""                      6.7000    41.2000   8.1000    41.2000   
R5         10k          TopLayer RESC1608X06N                  45.1000      27.4000      180      ""                      45.1000   27.4000   45.8500   27.4000   
Y2         16M          TopLayer XTAL_HC49P488W43L1117T475H350 36.7000      18.6400      90       "Crystal Oscillator"    36.7000   18.6400   36.7000   16.2000   
Y1         32.768k      TopLayer KX26                          36.0000      30.1500      180      "Crystal Oscillator"    36.0000   26.8000   37.0000   26.3000   
U6         LM2904       TopLayer SOIC127P600X175-8N            20.5000      34.6000      90       "2 Operation amplifier" 20.5000   34.6000   18.5950   31.8750   
U5         LM2904       TopLayer SOIC127P600X175-8N            23.5000      25.3000      90       "2 Operation amplifier" 23.5000   25.3000   21.5950   22.5750   
U4         LP2981-3.3   TopLayer SOT95P245X110-5N              52.0000      30.6000      180      ""                      52.0000   30.6000   53.2000   29.6500   
U3         STM8L151K6T6 TopLayer TQFP80P900X900X160-32N        44.9000      19.1000      0        ""                      44.9000   19.1000   40.7000   21.9000   
U2         LD1117-3.3   TopLayer SOT230P700X180-4N             59.9000      29.8000      270      ""                      59.9000   29.8000   62.2000   32.7250   
U1         ADM3483      TopLayer SOIC127P600X175-8N            45.0000      32.0000      90       ""                      45.0000   32.0000   43.0950   29.2750   
R22        1M           TopLayer RESC1608X06N                  22.4000      39.7000      90       ""                      22.4000   39.7000   22.4000   38.9500   
R21        0            TopLayer RESC1608X06N                  24.5500      35.9000      360      ""                      24.5500   35.9000   23.8000   35.9000   
R20        nc           TopLayer RESC1608X06N                  24.6000      34.4000      360      ""                      24.6000   34.4000   23.8500   34.4000   
R19        22k          TopLayer RESC1608X06N                  25.4000      30.8000      270      ""                      25.4000   30.8000   25.4000   31.5500   
R18        100          TopLayer RESC1608X06N                  7.6000       17.5000      360      ""                      7.6000    17.5000   6.8500    17.5000   
R17        22k          TopLayer RESC1608X06N                  19.0500      30.1000      360      ""                      19.0500   30.1000   18.3000   30.1000   
R16        22k          TopLayer RESC1608X06N                  24.6000      32.9000      180      ""                      24.6000   32.9000   25.3500   32.9000   
R15        0            TopLayer RESC1608X06N                  27.0000      25.9500      270      ""                      27.0000   25.9500   27.0000   26.7000   
