Altium Designer Pick and Place Locations
D:\Projects\Lab equipment\current test\HARD_V00\Project Outputs for CT\Pick Place for CT_V02.txt

========================================================================================================================
File Design Information:

Date:       06.12.18
Time:       15:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment      Layer    Footprint    Center-X(mil) Center-Y(mil) Rotation Description             Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) 
C23        22u          TopLayer C-1206       263.779       1452.756      180      ""                      263.779    1452.756   318.898    1452.756   
C22        22u          TopLayer C-1206       263.779       1539.370      180      ""                      263.779    1539.370   318.898    1539.370   
C21        22u          TopLayer C-1206       263.779       1622.047      180      ""                      263.779    1622.047   318.898    1622.047   
R5         10k          TopLayer R-0603       1775.591      1078.740      180      ""                      1775.591   1078.740   1805.118   1078.740   
Y2         16M          TopLayer HC49_3.5mm   1444.882      733.858       90       "Crystal Oscillator"    1444.882   733.858    1444.882   637.795    
Y1         32.768k      TopLayer KX26         1417.323      1187.008      180      "Crystal Oscillator"    1417.323   1055.118   1456.693   1035.433   
U6         LM2904       TopLayer SO-8         807.087       1362.205      90       "2 Operation amplifier" 807.087    1362.205   732.087    1254.921   
U5         LM2904       TopLayer SO-8         925.197       996.063       90       "2 Operation amplifier" 925.197    996.063    850.197    888.779    
U4         LP2981-3.3   TopLayer SOT-23-5     2047.244      1204.724      180      ""                      2047.244   1204.724   2094.488   1167.323   
U3         STM8L151K6T6 TopLayer QFP-32       1767.716      751.968       0        ""                      1767.716   751.968    1602.362   862.205    
U2         LD1117-3.3   TopLayer SOT223       2586.614      1149.606      270      ""                      2586.614   1149.606   2677.165   1264.764   
U1         ADM3483      TopLayer SO-8         1771.653      1259.842      90       ""                      1771.653   1259.842   1696.653   1152.559   
R22        1M           TopLayer R-0603       881.890       1562.992      90       ""                      881.890    1562.992   881.890    1533.465   
R21        0            TopLayer R-0603       966.535       1413.386      360      ""                      966.535    1413.386   937.008    1413.386   
R20        nc           TopLayer R-0603       968.504       1354.331      360      ""                      968.504    1354.331   938.976    1354.331   
R19        22k          TopLayer R-0603       1000.000      1212.598      270      ""                      1000.000   1212.598   1000.000   1242.126   
R18        100          TopLayer R-0603       299.212       688.976       360      ""                      299.213    688.976    269.685    688.976    
R17        22k          TopLayer R-0603       750.000       1185.039      360      ""                      750.000    1185.039   720.472    1185.039   
R16        22k          TopLayer R-0603       968.504       1295.276      180      ""                      968.504    1295.276   998.032    1295.276   
R15        0            TopLayer R-0603       1062.992      1021.654      270      ""                      1062.992   1021.654   1062.992   1051.181   
R14        1k           TopLayer R-0603       452.756       474.409       90       ""                      452.756    474.409    452.756    444.882    
R13        10k          TopLayer R-0603       673.228       435.039       90       ""                      673.228    435.039    673.228    405.512    
R12        1M           TopLayer R-0603       653.543       1281.496      270      ""                      653.543    1281.496   653.543    1311.024   
R11        1k           TopLayer R-0603       653.543       1179.134      270      ""                      653.543    1179.134   653.543    1208.661   
R10        10k          TopLayer R-0603       755.905       405.512       0        ""                      755.905    405.512    726.378    405.512    
R9         470          TopLayer R-0603       2210.630      940.945       0        ""                      2210.630   940.945    2181.102   940.945    
R8         470          TopLayer R-0603       2551.181      937.008       180      ""                      2551.181   937.008    2580.709   937.008    
R7         nc           TopLayer R-0603       2771.653      1198.819      270      ""                      2771.653   1198.819   2771.653   1228.346   
R6         2k2          TopLayer R-0603       1667.323      1078.740      0        ""                      1667.323   1078.740   1637.795   1078.740   
R4         0            TopLayer R-0603       2771.653      1340.551      270      ""                      2771.653   1340.551   2771.653   1370.079   
R3         10k          TopLayer R-0603       1624.016      1338.583      90       ""                      1624.016   1338.583   1624.016   1309.055   
R2         10k          TopLayer R-0603       1661.417      1555.118      90       ""                      1661.417   1555.118   1661.417   1525.591   
R1         nc           TopLayer R-0603       1771.653      1437.008      0        ""                      1771.653   1437.008   1742.126   1437.008   
Q4         IRF7604      TopLayer SSOP-8       255.905       838.583       360      ""                      255.905    838.583    217.520    755.315    
Q3         BC807        TopLayer SOT-23       334.646       440.945       360      ""                      334.646    440.945    294.646    478.346    
Q2         BC847        TopLayer SOT-23       334.646       582.677       360      ""                      334.646    582.677    294.646    620.079    
Q1         BC847C       TopLayer SOT-23       566.929       444.882       180      ""                      566.929    444.882    606.929    407.480    
L1         100uH        TopLayer SND-0705_3   408.957       1259.842      0        ""                      298.228    1259.842   298.228    1259.842   
JP6        "Header 2"   TopLayer TERMINAL2_1  629.921       1811.024      360      "Header, 2-Pin"         629.921    1811.024   531.496    1811.024   
JP5        LCD          TopLayer PLS1-7       2465.354      590.551       360      "Header, 7-Pin"         2165.354   590.551    2165.354   590.551    
JP4        "Header 4"   TopLayer PLS1-4       1094.882      1811.024      360      "Header, 4-Pin"         944.882    1811.024   944.882    1811.024   
JP3        "Header 4"   TopLayer PLS1-4       1204.724      917.716       270      "Header, 4-Pin"         1204.724   1067.716   1204.724   1067.716   
JP2        "4 HEADER"   TopLayer TERMINAL4_3  1771.653      1811.024      360      "4 Pin Header"          1771.653   1811.024   1476.378   1811.024   
JP1        POWER        TopLayer DC-140-003_3 2342.520      1682.087      0        ""                      2431.102   1562.992   2431.102   1562.992   
F2         nanoSMDC012F TopLayer R-1206       1889.764      1580.709      270      ""                      1889.764   1580.709   1889.764   1635.827   
F1         nanoSMDC012F TopLayer R-1206       1582.677      1582.677      270      ""                      1582.677   1582.677   1582.677   1637.795   
D5         SS14         TopLayer D-SMA        381.890       1043.307      360      ""                      381.890    1043.307   467.126    1043.307   
D4         LED          TopLayer LED_0805     2204.724      866.142       360      ""                      2204.724   866.142    2241.535   866.142    
D3         LED          TopLayer LED_0805     2559.055      866.142       180      ""                      2559.055   866.142    2522.244   866.142    
D2         SM712        TopLayer SOT-23       1771.653      1564.331      90       ""                      1771.653   1564.331   1734.252   1524.331   
D1         SS14         TopLayer D-SMA        2137.795      1519.685      90       ""                      2137.795   1519.685   2137.795   1604.921   
C20        "100u 6.3V"  TopLayer C_TANTAL_B   460.630       1551.181      180      ""                      460.630    1551.181   402.559    1551.181   
C19        100n         TopLayer C-0603       657.480       1443.898      90       ""                      657.480    1443.898   657.480    1417.323   
C18        100n         TopLayer C-0603       641.732       1559.055      90       ""                      641.732    1559.055   641.732    1532.480   
C17        100n         TopLayer C-0603       783.465       1077.756      90       ""                      783.465    1077.756   783.465    1051.181   
C16        100n         TopLayer C-0603       1062.992      916.339       270      ""                      1062.992   916.339    1062.992   942.913    
C15        "100u 16V"   TopLayer C_TANTAL_D   555.118       808.071       90       ""                      555.118    808.071    555.118    931.102    
C14        100n         TopLayer C-0603       2161.417      1193.898      90       ""                      2161.417   1193.898   2161.417   1167.323   
C13        100n         TopLayer C-0603       2026.575      1311.024      360      ""                      2026.575   1311.024   2000.000   1311.024   
C12        "22uF 6V"    TopLayer C_TANTAL_A   2066.929      1019.685      360      ""                      2066.929   1019.685   2119.095   1019.685   
C11        "100u 16V"   TopLayer C_TANTAL_D   2358.268      1070.866      270      ""                      2358.268   1070.866   2358.268   947.835    
C10        100n         TopLayer C-0603       2024.606      1102.362      360      ""                      2024.606   1102.362   1998.031   1102.362   
C9         100n         TopLayer C-0603       1602.362      495.079       270      ""                      1602.362   495.079    1602.362   521.654    
C8         1u           TopLayer C-0603       1661.417      495.079       270      ""                      1661.417   495.079    1661.417   521.654    
C7         22p          TopLayer C-0603       1307.087      664.370       270      ""                      1307.087   664.370    1307.087   690.945    
